Time,Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position.1,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:04:15.422000,VER,1,0 days 00:01:40.236000,1,1,0,42.325,24.389,0,0 days 01:03:51.046000,0 days 01:04:15.427000,230,254,274,250,FALSE,SOFT,4,FALSE,Red Bull Racing,0 days 01:02:34.872000,03:34.9,1,2,FALSE,0,FALSE,FALSE,100.236,,23.9,25,1010.2,FALSE,29.1,20,0.5
0 days 01:05:53.302000,VER,1,0 days 00:01:37.880000,2,1,31.285,42.269,24.326,0 days 01:04:46.662000,0 days 01:05:28.931000,0 days 01:05:53.257000,,252,276,296,TRUE,SOFT,5,FALSE,Red Bull Racing,0 days 01:04:15.422000,05:15.4,1,2,FALSE,0,FALSE,TRUE,97.88,97.88,23.8,26,1010.4,FALSE,29,357,0.5
0 days 01:07:31.659000,VER,1,0 days 00:01:38.357000,3,1,31.499,42.474,24.384,0 days 01:06:24.756000,0 days 01:07:07.230000,0 days 01:07:31.614000,229,254,276,294,FALSE,SOFT,6,FALSE,Red Bull Racing,0 days 01:05:53.302000,06:53.3,1,2,FALSE,0,FALSE,TRUE,98.357,98.357,23.8,27,1010.4,FALSE,29,12,0.5
0 days 01:09:10.225000,VER,1,0 days 00:01:38.566000,4,1,31.342,42.674,24.55,0 days 01:08:02.956000,0 days 01:08:45.630000,0 days 01:09:10.180000,231,250,276,297,FALSE,SOFT,7,FALSE,Red Bull Racing,0 days 01:07:31.659000,08:31.7,1,2,FALSE,0,FALSE,TRUE,98.566,98.566,23.8,29,1010.4,FALSE,28.7,12,0.4
0 days 01:10:49.102000,VER,1,0 days 00:01:38.877000,5,1,31.498,42.854,24.525,0 days 01:09:41.678000,0 days 01:10:24.532000,0 days 01:10:49.057000,229,256,276,293,FALSE,SOFT,8,FALSE,Red Bull Racing,0 days 01:09:10.225000,10:10.2,1,2,FALSE,0,FALSE,TRUE,98.877,98.877,23.8,33,1010.4,FALSE,28.5,316,0.4
0 days 01:12:28.042000,VER,1,0 days 00:01:38.940000,6,1,31.572,42.759,24.609,0 days 01:11:20.629000,0 days 01:12:03.388000,0 days 01:12:27.997000,,255,275,288,FALSE,SOFT,9,FALSE,Red Bull Racing,0 days 01:10:49.102000,11:49.1,1,2,FALSE,0,FALSE,TRUE,98.94,98.94,23.7,33,1010.4,FALSE,28.3,314,0.2
0 days 01:14:07.104000,VER,1,0 days 00:01:39.062000,7,1,31.637,42.845,24.58,0 days 01:12:59.634000,0 days 01:13:42.479000,0 days 01:14:07.059000,228,253,276,289,FALSE,SOFT,10,FALSE,Red Bull Racing,0 days 01:12:28.042000,13:28.1,1,2,FALSE,0,FALSE,TRUE,99.062,99.062,23.6,34,1010.4,FALSE,28.3,37,0.1
0 days 01:15:46.196000,VER,1,0 days 00:01:39.092000,8,1,31.616,42.875,24.601,0 days 01:14:38.675000,0 days 01:15:21.550000,0 days 01:15:46.151000,229,253,276,290,FALSE,SOFT,11,FALSE,Red Bull Racing,0 days 01:14:07.104000,15:07.1,1,2,FALSE,0,FALSE,TRUE,99.092,99.092,23.5,35,1010.4,FALSE,28.1,204,0.3
0 days 01:17:25.447000,VER,1,0 days 00:01:39.251000,9,1,31.625,42.957,24.669,0 days 01:16:17.776000,0 days 01:17:00.733000,0 days 01:17:25.402000,228,252,276,288,FALSE,SOFT,12,FALSE,Red Bull Racing,0 days 01:15:46.196000,16:46.2,1,2,FALSE,0,FALSE,TRUE,99.251,99.251,23.5,36,1010.4,FALSE,28.1,339,0.1
0 days 01:19:04.839000,VER,1,0 days 00:01:39.392000,10,1,31.736,43.051,24.605,0 days 01:17:57.138000,0 days 01:18:40.189000,0 days 01:19:04.794000,,248,275,,FALSE,SOFT,13,FALSE,Red Bull Racing,0 days 01:17:25.447000,18:25.5,1,2,FALSE,0,FALSE,TRUE,99.392,99.392,23.3,36,1010.2,FALSE,28,50,0.2
